row_index,message_id,urgency_level,category,secondary_category,error,raw_output
52,MSG_N02YC0MDICVW,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
53,MSG_LFYO1750CEHL,P1,electricity,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
54,MSG_TZ91X70FQLDB,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
56,MSG_SX43WFSQG8X8,P3,reservation,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
58,MSG_6H0W064W3U1H,P3,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
59,MSG_T9MOGE4QXXVA,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
60,MSG_OXIE0RNUJJQ9,P1,electricity,watr_leak,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
61,MSG_SFFCXHGNZEI3,P3,reservation,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
63,MSG_RUJOQW5DSK7N,P2,noise,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
65,MSG_X5WVFGYW6ZBN,P1,other,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
69,MSG_N7H9G1A07H23,P1,electricity,cleanliness,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
70,MSG_R5RDNPX2I9TA,P2,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
72,MSG_6TXKI3OQYFOQ,P1,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
74,MSG_FV177UDKTMON,P2,noise,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
75,MSG_3MUURMYBD2QE,P2,watr_leak,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
76,MSG_ZNQDXAMW2TND,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
77,MSG_8VT43PT5R5RC,P2,cleanliness,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
79,MSG_NAM148P0TVHH,P0,watr_leak,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
81,MSG_MYR06NKWFG3M,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
83,MSG_BW01PDDHCVSQ,P2,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
85,MSG_N4PTGQ9CVAH7,P2,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
87,MSG_QJLUUJMIYQFY,P1,electricity,garage_access,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
88,MSG_5GJLQM5K8P4Q,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
90,MSG_5JZ6KF1622VX,P3,other,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
92,MSG_ATQYYV37DIA5,P1,watr_leak,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
93,MSG_438TGBCVARLW,P3,other,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
94,MSG_5270SQG4EIJ0,P3,admin,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
95,MSG_KBP2QD6VASIF,P1,electricity,watr_leak,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
97,MSG_BI4O6Q0USWOV,P2,cleanliness,noise,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
99,MSG_TRFLQBMAE38S,P2,garage_access,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
101,MSG_3E4XYF9IGFU77,P0,security,nan,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=90)",
